,Measured Data,Linear Regression,Support Vector Regression,Decision Tree Regression,Random Forest Regression,Random Forest Regression (standardized data),Gradient Boosting,Extreme Gradient Boosting,Bootstrapping,Neural Networks
949,114.8904211,119.83572142204643,120.58831122896046,118.5079623,118.17085572329738,119.31082121464229,117.09928463892668,119.07187,119.61055470000001,118.74407828240058
950,285.5260135,315.49555308194056,323.272699223119,287.4268761,317.5649479025362,321.07529626652337,305.4919926795249,306.14893,287.85020627999995,319.96249924480713
951,282.4735823,279.68879853348045,306.6303795977253,289.5747127,291.2774480617479,291.23988872852055,288.3639797716987,296.29956,296.20502275,285.4374301706541
952,177.4135636,199.53749765190562,183.06507991583337,195.3518294,188.83546094517888,185.58966197737928,177.60093967779784,178.28648,184.79863038000002,195.88846855310297
953,142.3378138,140.21965770739286,142.67713029901242,144.2753039,143.4544339516682,142.6215622068464,139.9980588002023,143.93983,144.16770277,139.49438122842588
954,139.146826,152.18742542163164,137.65810740883668,135.2946595,140.35152443233886,140.5908080950002,141.60579736388797,141.01135,137.70456063,140.01560229996934
955,306.7800099,237.74508648298337,292.3895320082002,293.834177,296.86664301778166,291.48017534825425,295.2190810261856,305.78598,291.48953560999996,262.5611356478291
956,313.5531672,336.6014292562071,356.04915821665134,340.5779832,337.86520294437855,337.6270378978472,325.1926057287685,330.13785,319.49040123,359.1834461712833
957,144.1419798,156.42614179624363,155.55087677919076,159.8392705,153.9913228772594,154.74630576835517,152.0932670241732,151.8773,151.76920668,153.68086941012825
958,159.5064835,199.78279509930414,175.27295325598612,173.3813991,168.67093837151148,169.62655308387636,176.40062742847695,167.3712,167.82278877,179.45554760318353
959,138.8519223,134.9431545876554,139.4398246741998,140.4811135,140.94010007287935,139.93912359153995,140.03517163899764,144.04219,139.39202095000002,138.15435403344657
960,134.4405062,144.20076525926476,144.5172214556047,138.0387918,134.55315115507707,134.31550645350265,136.02225792412256,137.99814,137.21923579000003,141.1320679769817
961,136.2174632,144.75254704535695,130.7427740964401,141.6942163,135.55313545150594,135.55612623948687,136.2999790153167,133.85303,133.99861111,136.00249157979042
962,136.6500863,143.92725589002129,136.69261621335315,137.4546355,136.54341535817775,137.06746217028405,135.31689711800772,135.07068,135.64121844,135.0146520343611
963,197.9421262,167.93643085541265,188.41117064699273,155.8213384,193.27586749971957,194.46039913417292,179.79885166790055,179.85341,192.57067192999997,188.06219957507057
964,414.8501812,395.9223288295517,401.18896902765385,420.5155136,389.69412896133457,389.1217849950666,400.33571338622573,408.93594,400.04653871,407.20509389716625
965,125.3851417,133.53553818608714,121.7602048650104,126.9561475,125.41833954146121,125.21305005637102,126.73860971579965,125.02872,126.04295067000002,125.092163877922
966,184.6356694,172.40977086619893,192.2729800305054,181.3442176,186.98933946290978,186.40058069782506,196.03829268455095,183.3948,183.97806972999996,196.22624139956292
967,231.8480983,179.56273104526085,209.7307679699167,211.1908162,223.1898066219724,225.6514184913277,225.80967035613392,216.87248,221.79129609,204.77922450234826
968,256.5965675,282.1235291567292,274.9931919921831,285.056135,270.602160281728,281.87132500720384,268.4166595606408,263.68936,262.49581357999995,273.1913237777789
